trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   4.00000,   1.00000,   0.01640, 1444.00000,   0.58921,   3.86140,  -9.88601,  22.24318,  22.18144,   0.00000,   0.00000,   0.01253,  -0.06413,   0.01489, 494.75239, 708.69913,   9.98511, 540.91767, 525.53001,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.03340, 1452.00000,   0.58911,   3.86135,  -9.88589,  22.24316,  22.18147,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.06020, 1458.00000,   0.58957,   3.86113,  -9.88571,  22.24341,  22.18149,   0.00000,   0.00000,   0.01558,  -0.09417,   0.02149, 494.64704, 709.50659,   9.97851, 541.69669, 526.26101,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.07786, 1463.00000,   0.59006,   3.86109,  -9.88555,  22.24351,  22.18136,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.08142, 1464.00000,   0.59018,   3.86119,  -9.88549,  22.24342,  22.18122,   0.00000,   0.00000,   0.00523,  -0.11073,   0.03200, 495.00418, 709.95143,   9.96800, 541.95493, 526.79687,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.08548, 1465.00000,   0.59017,   3.86108,  -9.88552,  22.24354,  22.18134,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.08959, 1466.00000,   0.59036,   3.86108,  -9.88550,  22.24357,  22.18128,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.09391, 1467.00000,   0.59031,   3.86116,  -9.88548,  22.24348,  22.18122,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.09808, 1468.00000,   0.59030,   3.86110,  -9.88549,  22.24354,  22.18128,   0.00000,   0.00000,  -0.00742,  -0.11965,   0.04412, 495.44080, 710.19120,   9.95588, 541.99404, 527.16415,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.10215, 1469.00000,   0.59046,   3.86114,  -9.88546,  22.24354,  22.18120,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.10635, 1470.00000,   0.59054,   3.86111,  -9.88548,  22.24359,  22.18122,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.11050, 1471.00000,   0.59052,   3.86110,  -9.88548,  22.24359,  22.18123,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
