trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2,
1,2,4,1,0.19344,1861,-0.07299,3.56119,-10.79595,22.72488,22.82835,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.19763,1862,-0.07303,3.56137,-10.7969,22.72511,22.8286,0,0,-0.00341,-0.0063,-0.07856,505.37086,703.13861,10.07856,528.48184,512.87902,0,0, 
1,2,4,1,0.20168,1863,-0.07299,3.56176,-10.79773,22.72511,22.82859,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.20588,1864,-0.07306,3.56202,-10.79854,22.7252,22.82872,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.2101,1865,-0.0733,3.56215,-10.79939,22.72539,22.82901,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.21423,1866,-0.07348,3.56242,-10.80013,22.72542,22.82913,0,0,-0.00405,-0.00652,-0.08002,505.39237,703.1443,10.08002,528.47813,512.89104,0,0, 
1,2,4,1,0.21834,1867,-0.07368,3.56279,-10.80079,22.72532,22.82913,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.22263,1868,-0.07379,3.56292,-10.80158,22.72551,22.82937,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.22676,1869,-0.07385,3.56289,-10.80234,22.72584,22.82973,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.23086,1870,-0.07396,3.56328,-10.80295,22.72572,22.82966,0,0,-0.00512,-0.00659,-0.07989,505.42775,703.14623,10.07989,528.46525,512.90373,0,0, 
1,2,4,1,0.23512,1871,-0.0745,3.56335,-10.8037,22.72585,22.83005,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.23932,1872,-0.07451,3.56382,-10.8043,22.72568,22.82988,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.24334,1873,-0.07478,3.5639,-10.80504,22.72585,22.83019,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.24761,1874,-0.07476,3.56422,-10.80562,22.72582,22.83015,0,0,-0.00548,-0.00664,-0.07872,505.43955,703.14744,10.07872,528.46147,512.90851,0,0, 
1,2,4,1,0.25177,1875,-0.07521,3.56434,-10.80629,22.72589,22.83043,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.25593,1876,-0.0756,3.56458,-10.80683,22.72582,22.83054,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.26014,1877,-0.07579,3.5647,-10.80736,22.72589,22.83069,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.26425,1878,-0.07612,3.56476,-10.80796,22.72601,22.83097,0,0,-0.00448,-0.00636,-0.0765,505.40642,703.1402,10.0765,528.46859,512.89145,0,0, 
1,2,4,1,0.2684,1879,-0.07628,3.56521,-10.80838,22.72575,22.83079,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.27259,1880,-0.07639,3.56537,-10.80882,22.72577,22.83086,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.27674,1881,-0.07664,3.56545,-10.80926,22.72583,22.83104,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.28086,1882,-0.077,3.56562,-10.80968,22.72577,22.83115,0,0,-0.00267,-0.0057,-0.07292,505.34634,703.12274,10.07292,528.47754,512.85639,0,0, 
1,2,4,1,0.28511,1883,-0.0769,3.56568,-10.81014,22.72593,22.83127,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.28923,1884,-0.07723,3.5659,-10.81048,22.72581,22.8313,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.29336,1885,-0.07765,3.56607,-10.81079,22.7257,22.83138,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.29764,1886,-0.07759,3.56614,-10.81114,22.72579,22.83145,0,0,-0.00147,-0.00494,-0.06906,505.30659,703.10272,10.06906,528.47577,512.82514,0,0, 
1,2,4,1,0.30176,1887,-0.0778,3.56613,-10.81153,22.72591,22.83167,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.30586,1888,-0.07764,3.56636,-10.81185,22.72587,22.83156,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.31008,1889,-0.07796,3.56643,-10.81222,22.7259,22.83173,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.31426,1890,-0.07802,3.56629,-10.81271,22.72621,22.83207,0,0,-0.00361,-0.00348,-0.06625,505.37749,703.06399,10.06625,528.41117,512.81004,0,0, 
1,2,4,1,0.3184,1891,-0.07813,3.56615,-10.81325,22.72654,22.83245,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.3226,1892,-0.07819,3.56625,-10.81367,22.72661,22.83255,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.32672,1893,-0.07835,3.56664,-10.81406,22.72639,22.83241,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.33083,1894,-0.0785,3.56662,-10.81462,22.72661,22.83269,0,0,-0.0118,-0.00069,-0.07132,505.64922,702.9904,10.07132,528.23179,512.82346,0,0, 
1,2,4,1,0.33509,1895,-0.07874,3.56643,-10.81522,22.72697,22.83317,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.3392,1896,-0.07875,3.56638,-10.81568,22.7272,22.83341,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.34332,1897,-0.0789,3.56626,-10.81619,22.72749,22.83376,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.3476,1898,-0.07909,3.56619,-10.81661,22.72768,22.83404,0,0,0.01205,0.01569,-0.14214,504.85829,702.55828,10.14214,528.16603,512.1695,0,0, 
1,2,4,1,0.35177,1899,-0.07903,3.56626,-10.81698,22.72779,22.83412,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.35589,1900,-0.07903,3.56638,-10.81721,22.72778,22.83411,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.36007,1901,-0.07883,3.56631,-10.81742,22.72797,22.83421,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.36425,1902,-0.07881,3.56623,-10.8176,22.72812,22.83435,0,0,0.01567,0.19094,-0.33003,504.73794,697.93484,10.33003,524.01319,507.73305,0,0, 
1,2,4,1,0.36833,1903,-0.07858,3.56625,-10.81763,22.72816,22.83429,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.37262,1904,-0.07832,3.56608,-10.81767,22.72838,22.83439,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.37672,1905,-0.07799,3.5662,-10.81752,22.72829,22.83415,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.38093,1906,-0.07774,3.56641,-10.81729,22.72806,22.8338,0,0,-0.0333,0.79407,-0.68993,506.36272,682.02321,10.68993,508.90799,493.1424,0,0, 
1,2,4,1,0.38513,1907,-0.07738,3.56639,-10.81711,22.72809,22.83367,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.38925,1908,-0.07677,3.56628,-10.81688,22.72822,22.83352,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.39336,1909,-0.07651,3.56611,-10.81663,22.72832,22.8335,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
