trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   2.00000,   1.00000,   0.01599, 1168.00000,   0.93230,   3.66633,  -9.84639,  22.40979,  22.12253,   0.00000,   0.00000,  -0.00218,  -0.00130,   0.00223, 495.62308, 710.02249,   9.99777, 540.44326, 520.44031,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.03283, 1176.00000,   0.93151,   3.66645,  -9.84529,  22.40905,  22.12215,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.05927, 1182.00000,   0.93577,   3.66661,  -9.84651,  22.41052,  22.12165,   0.00000,   0.00000,  -0.00424,  -0.00244,   0.00394, 495.69405, 710.05321,   9.99606, 540.44222, 520.49250,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.07677, 1187.00000,   0.94161,   3.66683,  -9.84879,  22.41275,  22.12119,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.08095, 1188.00000,   0.94311,   3.66698,  -9.84908,  22.41313,  22.12088,   0.00000,   0.00000,  -0.00632,  -0.00414,   0.00539, 495.76559, 710.09869,   9.99461, 540.45442, 520.55881,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.08509, 1189.00000,   0.94437,   3.66702,  -9.84932,  22.41353,  22.12069,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.08928, 1190.00000,   0.94562,   3.66716,  -9.84932,  22.41375,  22.12032,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.09342, 1191.00000,   0.94690,   3.66702,  -9.84922,  22.41417,  22.12015,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.09760, 1192.00000,   0.94783,   3.66701,  -9.84901,  22.41435,  22.11990,   0.00000,   0.00000,  -0.00761,  -0.00450,   0.00564, 495.80987, 710.10843,   9.99436, 540.44518, 520.58246,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.10167, 1193.00000,   0.94872,   3.66691,  -9.84868,  22.41456,  22.11969,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.10591, 1194.00000,   0.94920,   3.66652,  -9.84845,  22.41495,  22.11986,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.11006, 1195.00000,   0.94947,   3.66635,  -9.84814,  22.41505,  22.11984,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.11428, 1196.00000,   0.94956,   3.66606,  -9.84792,  22.41525,  22.12000,   0.00000,   0.00000,  -0.00735,  -0.00528,   0.00487, 495.80121, 710.12918,   9.99513, 540.46766, 520.59925,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.11841, 1197.00000,   0.94977,   3.66578,  -9.84770,  22.41547,  22.12012,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.12253, 1198.00000,   0.94970,   3.66563,  -9.84751,  22.41551,  22.12020,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.12669, 1199.00000,   0.94960,   3.66544,  -9.84746,  22.41563,  22.12037,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.13099, 1200.00000,   0.94943,   3.66527,  -9.84751,  22.41575,  22.12057,   0.00000,   0.00000,  -0.00649,  -0.00594,   0.00370, 495.77154, 710.14705,   9.99630, 540.49611, 520.60647,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.13502, 1201.00000,   0.94944,   3.66509,  -9.84775,  22.41601,  22.12083,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.13927, 1202.00000,   0.94951,   3.66500,  -9.84807,  22.41623,  22.12102,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.14347, 1203.00000,   0.94960,   3.66501,  -9.84853,  22.41642,  22.12117,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.14755, 1204.00000,   0.94972,   3.66497,  -9.84912,  22.41671,  22.12141,   0.00000,   0.00000,  -0.00653,  -0.00659,   0.00263, 495.77274, 710.16445,   9.99737, 540.51150, 520.62331,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.15170, 1205.00000,   0.95004,   3.66500,  -9.84986,  22.41705,  22.12162,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.15592, 1206.00000,   0.95043,   3.66508,  -9.85085,  22.41746,  22.12185,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.16009, 1207.00000,   0.95095,   3.66525,  -9.85179,  22.41780,  22.12196,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.16435, 1208.00000,   0.95109,   3.66524,  -9.85285,  22.41826,  22.12236,   0.00000,   0.00000,  -0.00850,  -0.00723,   0.00273, 495.84070, 710.18158,   9.99727, 540.49932, 520.66167,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.16848, 1209.00000,   0.95122,   3.66534,  -9.85388,  22.41859,  22.12265,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.17255, 1210.00000,   0.95155,   3.66523,  -9.85493,  22.41918,  22.12309,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.17669, 1211.00000,   0.95149,   3.66501,  -9.85606,  22.41978,  22.12373,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.18095, 1212.00000,   0.95123,   3.66523,  -9.85698,  22.41986,  22.12394,   0.00000,   0.00000,  -0.01398,  -0.00782,   0.00543, 496.02911, 710.19732,   9.99457, 540.43661, 520.73803,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.18508, 1213.00000,   0.95071,   3.66507,  -9.85802,  22.42026,  22.12459,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.18934, 1214.00000,   0.94983,   3.66514,  -9.85892,  22.42030,  22.12505,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.19348, 1215.00000,   0.94859,   3.66528,  -9.85979,  22.42018,  22.12551,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.19755, 1216.00000,   0.94711,   3.66548,  -9.86071,  22.41994,  22.12597,   0.00000,   0.00000,  -0.01695,  -0.00789,   0.00727, 496.13155, 710.19916,   9.99273, 540.39641, 520.77323,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.20170, 1217.00000,   0.94551,   3.66603,  -9.86147,  22.41932,  22.12609,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.20597, 1218.00000,   0.94335,   3.66656,  -9.86231,  22.41859,  22.12636,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.21010, 1219.00000,   0.94122,   3.66733,  -9.86301,  22.41760,  22.12635,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.21420, 1220.00000,   0.93930,   3.66805,  -9.86376,  22.41673,  22.12637,   0.00000,   0.00000,  -0.01902,  -0.00833,   0.00932, 496.20250, 710.21111,   9.99068, 540.37832, 520.80771,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.21848, 1221.00000,   0.93743,   3.66880,  -9.86454,  22.41585,  22.12636,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.22257, 1222.00000,   0.93579,   3.66955,  -9.86535,  22.41506,  22.12632,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.22669, 1223.00000,   0.93396,   3.67027,  -9.86627,  22.41428,  22.12639,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.23094, 1224.00000,   0.93260,   3.67094,  -9.86728,  22.41371,  22.12645,   0.00000,   0.00000,  -0.01883,  -0.00858,   0.01042, 496.19607, 710.21782,   9.98958, 540.38708, 520.81195,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.23509, 1225.00000,   0.93133,   3.67156,  -9.86841,  22.41325,  22.12658,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.23922, 1226.00000,   0.93027,   3.67214,  -9.86962,  22.41291,  22.12674,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.24343, 1227.00000,   0.92922,   3.67257,  -9.87086,  22.41271,  22.12704,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.24757, 1228.00000,   0.92858,   3.67294,  -9.87222,  22.41273,  22.12736,   0.00000,   0.00000,  -0.01812,  -0.00863,   0.01120, 496.17164, 710.21904,   9.98880, 540.39817, 520.80512,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.25173, 1229.00000,   0.92790,   3.67336,  -9.87359,  22.41269,  22.12765,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.25595, 1230.00000,   0.92738,   3.67350,  -9.87511,  22.41301,  22.12822,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.26001, 1231.00000,   0.92710,   3.67373,  -9.87651,  22.41326,  22.12861,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.26431, 1232.00000,   0.92675,   3.67401,  -9.87786,  22.41343,  22.12895,   0.00000,   0.00000,  -0.01658,  -0.00818,   0.01255, 496.11878, 710.20716,   9.98745, 540.40894, 520.77662,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.26845, 1233.00000,   0.92642,   3.67405,  -9.87920,  22.41382,  22.12951,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.27255, 1234.00000,   0.92615,   3.67419,  -9.88037,  22.41406,  22.12989,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.27672, 1235.00000,   0.92561,   3.67434,  -9.88144,  22.41419,  22.13028,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.28092, 1236.00000,   0.92537,   3.67447,  -9.88235,  22.41435,  22.13056,   0.00000,   0.00000,  -0.01649,  -0.00542,   0.01570, 496.11546, 710.13311,   9.98430, 540.34271, 520.70554,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.28508, 1237.00000,   0.92509,   3.67457,  -9.88314,  22.41450,  22.13084,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.28927, 1238.00000,   0.92460,   3.67489,  -9.88376,  22.41432,  22.13088,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.29343, 1239.00000,   0.92417,   3.67503,  -9.88436,  22.41431,  22.13108,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.29753, 1240.00000,   0.92360,   3.67512,  -9.88488,  22.41427,  22.13131,   0.00000,   0.00000,  -0.01779,   0.00607,   0.01721, 496.16031, 709.82496,   9.98279, 540.04316, 520.42898,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.30171, 1241.00000,   0.92304,   3.67540,  -9.88528,  22.41402,  22.13132,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.30591, 1242.00000,   0.92244,   3.67531,  -9.88577,  22.41413,  22.13171,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.31008, 1243.00000,   0.92194,   3.67553,  -9.88611,  22.41393,  22.13175,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.31434, 1244.00000,   0.92131,   3.67554,  -9.88650,  22.41390,  22.13202,   0.00000,   0.00000,  -0.03839,   0.16090,  -0.05674, 496.86911, 705.67261,  10.05674, 535.96505, 516.74058,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.31851, 1245.00000,   0.92037,   3.67553,  -9.88691,  22.41382,  22.13237,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.32251, 1246.00000,   0.91962,   3.67574,  -9.88725,  22.41356,  22.13246,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.32671, 1247.00000,   0.91888,   3.67572,  -9.88767,  22.41353,  22.13278,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.33097, 1248.00000,   0.91833,   3.67562,  -9.88816,  22.41366,  22.13317,   0.00000,   0.00000,  -0.04178,   0.66377,  -0.29660, 496.98583, 692.18619,  10.29660, 523.64888, 504.07211,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.33503, 1249.00000,   0.91796,   3.67558,  -9.88866,  22.41379,  22.13348,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.33918, 1250.00000,   0.91756,   3.67563,  -9.88937,  22.41390,  22.13378,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.34343, 1251.00000,   0.91667,   3.67634,  -9.89012,  22.41333,  22.13361,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.34761, 1252.00000,   0.91613,   3.67653,  -9.89104,  22.41336,  22.13391,   0.00000,   0.00000,   0.10453,   1.57741,  -0.75033, 491.95100, 667.68359,  10.75033, 503.74870, 479.32772,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.35168, 1253.00000,   0.91522,   3.67813,  -9.89122,  22.41177,  22.13272,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.35595, 1254.00000,   0.91339,   3.68016,  -9.89100,  22.40940,  22.13117,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.36006, 1255.00000,   0.91176,   3.68134,  -9.89093,  22.40789,  22.13040,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.36418, 1256.00000,   0.91040,   3.68188,  -9.89101,  22.40708,  22.13021,   0.00000,   0.00000,   0.42589,   2.84422,  -1.35907, 480.89162, 633.70926,  11.35907, 478.95071, 443.62778,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.36841, 1257.00000,   0.90865,   3.68232,  -9.89128,  22.40632,  22.13026,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.37259, 1258.00000,   0.90716,   3.68264,  -9.89150,  22.40573,  22.13035,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.37671, 1259.00000,   0.90636,   3.68213,  -9.89196,  22.40614,  22.13115,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.38100, 1260.00000,   0.90623,   3.68171,  -9.89247,  22.40668,  22.13176,   0.00000,   0.00000,   0.78592,   4.42178,  -2.03167, 468.50206, 591.40107,  12.03167, 449.36331, 399.66886,   0.00000,   0.00000, 
