trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   3.00000,   1.00000,   0.01606, 1214.00000,   0.79484,   3.74654,  -9.81778,  21.93358,  21.69249,   0.00000,   0.00000,   0.00113,  -0.00004,   0.00085, 498.53361, 706.98081,   9.99915, 539.52987, 522.88582,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.03272, 1221.00000,   0.79479,   3.74622,  -9.81742,  21.93371,  21.69265,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.05907, 1227.00000,   0.79510,   3.74617,  -9.81735,  21.93381,  21.69260,   0.00000,   0.00000,   0.00382,  -0.00042,   0.00044, 498.44145, 706.99114,   9.99956, 539.57713, 522.86590,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.07662, 1232.00000,   0.79537,   3.74603,  -9.81721,  21.93396,  21.69262,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.08019, 1233.00000,   0.79544,   3.74597,  -9.81717,  21.93401,  21.69264,   0.00000,   0.00000,   0.00604,  -0.00107,   0.00014, 498.36522, 707.00861,   9.99986, 539.62436, 522.85789,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.08434, 1234.00000,   0.79564,   3.74579,  -9.81710,  21.93420,  21.69273,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.08841, 1235.00000,   0.79571,   3.74573,  -9.81708,  21.93427,  21.69277,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.09266, 1236.00000,   0.79568,   3.74575,  -9.81706,  21.93423,  21.69274,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.09686, 1237.00000,   0.79577,   3.74561,  -9.81713,  21.93441,  21.69288,   0.00000,   0.00000,   0.00710,  -0.00183,   0.00022, 498.32879, 707.02900,   9.99978, 539.65791, 522.86547,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.10093, 1238.00000,   0.79584,   3.74561,  -9.81717,  21.93443,  21.69288,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.10527, 1239.00000,   0.79587,   3.74556,  -9.81722,  21.93450,  21.69294,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.10934, 1240.00000,   0.79600,   3.74562,  -9.81722,  21.93449,  21.69286,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.11349, 1241.00000,   0.79594,   3.74561,  -9.81724,  21.93449,  21.69289,   0.00000,   0.00000,   0.00645,  -0.00260,   0.00063, 498.35112, 707.04971,   9.99937, 539.66762, 522.89226,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.11767, 1242.00000,   0.79610,   3.74569,  -9.81719,  21.93445,  21.69277,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
