trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   4.00000,   1.00000,   0.01652, 2052.00000,   1.05206,   3.70843,  -9.74084,  21.94394,  21.55531,   0.00000,   0.00000,   0.01253,  -0.06413,   0.01489, 499.59567, 711.69637,   9.98511, 540.06927, 519.47018,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.03366, 2060.00000,   1.06448,   3.70741,  -9.74114,  21.94866,  21.55385,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.06098, 2067.00000,   1.07520,   3.70741,  -9.73908,  21.95109,  21.55090,   0.00000,   0.00000,   0.01558,  -0.09417,   0.02149, 499.49202, 712.49975,   9.97851, 540.84362, 520.20158,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.07885, 2071.00000,   1.08073,   3.70729,  -9.73813,  21.95249,  21.54953,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.08165, 2072.00000,   1.08188,   3.70742,  -9.73794,  21.95265,  21.54912,   0.00000,   0.00000,   0.00523,  -0.11073,   0.03200, 499.84339, 712.94234,   9.96800, 541.10168, 520.73141,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.08578, 2073.00000,   1.08274,   3.70746,  -9.73771,  21.95279,  21.54882,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.09003, 2074.00000,   1.08393,   3.70746,  -9.73744,  21.95304,  21.54848,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.09407, 2075.00000,   1.08479,   3.70757,  -9.73716,  21.95310,  21.54810,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.09823, 2076.00000,   1.08574,   3.70755,  -9.73694,  21.95332,  21.54784,   0.00000,   0.00000,  -0.00742,  -0.11965,   0.04412, 500.27294, 713.18090,   9.95588, 541.14208, 521.09177,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.10252, 2077.00000,   1.08662,   3.70761,  -9.73659,  21.95339,  21.54747,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
