trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   3.00000,   1.00000,   0.01614, 1322.00000,  -0.51852,   3.66860, -10.91214,  22.57793,  22.62782,   0.00000,   0.00000,  -0.00017,   0.00010,   0.00060, 506.23899, 702.95592,   9.99940, 523.82289, 514.87512,   0.00000,   0.00000, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.03273, 1330.00000,  -0.51828,   3.66855, -10.91151,  22.57776,  22.62753,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.05923, 1336.00000,  -0.51735,   3.66849, -10.91123,  22.57790,  22.62724,   0.00000,   0.00000,  -0.00015,   0.00013,   0.00061, 506.23829, 702.95525,   9.99939, 523.82257, 514.87426,   0.00000,   0.00000, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.07656, 1340.00000,  -0.51599,   3.66848, -10.91091,  22.57805,  22.62676,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.07820, 1341.00000,  -0.51557,   3.66857, -10.91087,  22.57804,  22.62655,   0.00000,   0.00000,   0.00062,   0.00027,   0.00039, 506.21274, 702.95145,   9.99961, 523.82979, 514.86279,   0.00000,   0.00000, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.08244, 1342.00000,  -0.51527,   3.66875, -10.91079,  22.57790,  22.62628,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.08654, 1343.00000,  -0.51520,   3.66874, -10.91074,  22.57791,  22.62625,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.09064, 1344.00000,  -0.51468,   3.66855, -10.91082,  22.57822,  22.62632,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.09494, 1345.00000,  -0.51456,   3.66872, -10.91068,  22.57803,  22.62608,   0.00000,   0.00000,   0.00152,   0.00045,   0.00030, 506.18276, 702.94687,   9.99970, 523.83815, 514.84922,   0.00000,   0.00000, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.09905, 1346.00000,  -0.51425,   3.66851, -10.91072,  22.57830,  22.62619,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.10316, 1347.00000,  -0.51378,   3.66874, -10.91064,  22.57816,  22.62584,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.10744, 1348.00000,  -0.51331,   3.66884, -10.91059,  22.57815,  22.62561,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.11171, 1349.00000,  -0.51333,   3.66868, -10.91066,  22.57832,  22.62579,   0.00000,   0.00000,   0.00217,   0.00030,   0.00049, 506.16130, 702.95075,   9.99951, 523.85064, 514.84632,   0.00000,   0.00000, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.11568, 1350.00000,  -0.51282,   3.66895, -10.91057,  22.57814,  22.62538,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.11993, 1351.00000,  -0.51249,   3.66885, -10.91068,  22.57834,  22.62543,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.12402, 1352.00000,  -0.51215,   3.66896, -10.91069,  22.57832,  22.62525,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.12823, 1353.00000,  -0.51173,   3.66908, -10.91078,  22.57834,  22.62508,   0.00000,   0.00000,   0.00158,   0.00014,   0.00094, 506.18094, 702.95489,   9.99906, 523.84620, 514.85629,   0.00000,   0.00000, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.13237, 1354.00000,  -0.51154,   3.66890, -10.91087,  22.57858,  22.62522,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.13661, 1355.00000,  -0.51137,   3.66871, -10.91103,  22.57885,  22.62541,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   3.00000,   1.00000,   0.14070, 1356.00000,  -0.51123,   3.66881, -10.91108,  22.57881,  22.62531,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
