trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,  10.00000,   1.00000,   0.01653, 1187.00000,  -0.39237,   3.71598, -11.24541,  22.17857,  22.85358,   0.00000,   0.00000,   0.00121,  -0.00505,  -0.00046, 507.91799, 714.09860,  10.00046, 533.38292, 519.64221,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.03352, 1194.00000,  -0.39272,   3.71590, -11.24593,  22.17879,  22.85396,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.06031, 1201.00000,  -0.39273,   3.71606, -11.24608,  22.17872,  22.85389,   0.00000,   0.00000,   0.00139,  -0.00703,  -0.00066, 507.91171, 714.15141,  10.00066, 533.43341, 519.69048,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.07800, 1205.00000,  -0.39277,   3.71607, -11.24602,  22.17867,  22.85387,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.07963, 1206.00000,  -0.39279,   3.71600, -11.24601,  22.17872,  22.85393,   0.00000,   0.00000,   0.00249,  -0.00934,  -0.00109, 507.87412, 714.21288,  10.00109, 533.50501, 519.73729,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.08363, 1207.00000,  -0.39280,   3.71604, -11.24595,  22.17866,  22.85387,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.08786, 1208.00000,  -0.39282,   3.71599, -11.24590,  22.17868,  22.85390,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.09201, 1209.00000,  -0.39284,   3.71603, -11.24581,  22.17860,  22.85384,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.09623, 1210.00000,  -0.39286,   3.71603, -11.24571,  22.17855,  22.85379,   0.00000,   0.00000,   0.00350,  -0.01061,  -0.00169, 507.83984, 714.24669,  10.00169, 533.55016, 519.75883,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.10040, 1211.00000,  -0.39293,   3.71604, -11.24556,  22.17845,  22.85373,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.10452, 1212.00000,  -0.39289,   3.71606, -11.24539,  22.17837,  22.85364,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.10860, 1213.00000,  -0.39305,   3.71600, -11.24530,  22.17835,  22.85369,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.11293, 1214.00000,  -0.39290,   3.71591, -11.24524,  22.17844,  22.85371,   0.00000,   0.00000,   0.00418,  -0.01143,  -0.00206, 507.81659, 714.26827,  10.00206, 533.57957, 519.77216,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.11701, 1215.00000,  -0.39302,   3.71591, -11.24518,  22.17838,  22.85371,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.12117, 1216.00000,  -0.39293,   3.71600, -11.24510,  22.17829,  22.85357,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.12536, 1217.00000,  -0.39307,   3.71599, -11.24502,  22.17824,  22.85359,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.12962, 1218.00000,  -0.39297,   3.71593, -11.24501,  22.17831,  22.85361,   0.00000,   0.00000,   0.00555,  -0.01222,  -0.00198, 507.76978, 714.28928,  10.00198, 533.61844, 519.77766,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.13363, 1219.00000,  -0.39306,   3.71595, -11.24501,  22.17827,  22.85362,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.13786, 1220.00000,  -0.39306,   3.71594, -11.24501,  22.17827,  22.85362,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.14202, 1221.00000,  -0.39294,   3.71605, -11.24499,  22.17819,  22.85349,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.14615, 1222.00000,  -0.39293,   3.71607, -11.24500,  22.17819,  22.85347,   0.00000,   0.00000,   0.00666,  -0.01252,  -0.00197, 507.73192, 714.29736,  10.00197, 533.64181, 519.77363,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.15043, 1223.00000,  -0.39299,   3.71604, -11.24504,  22.17822,  22.85353,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.15438, 1224.00000,  -0.39309,   3.71598, -11.24509,  22.17827,  22.85363,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.15851, 1225.00000,  -0.39305,   3.71608, -11.24509,  22.17819,  22.85353,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.16293, 1226.00000,  -0.39300,   3.71606, -11.24510,  22.17822,  22.85354,   0.00000,   0.00000,   0.00732,  -0.01209,  -0.00233, 507.70929, 714.28583,  10.00233, 533.64096, 519.75567,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.16699, 1227.00000,  -0.39286,   3.71608, -11.24511,  22.17824,  22.85349,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.17113, 1228.00000,  -0.39287,   3.71601, -11.24514,  22.17832,  22.85357,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.17536, 1229.00000,  -0.39279,   3.71605, -11.24516,  22.17831,  22.85352,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.17956, 1230.00000,  -0.39258,   3.71603, -11.24519,  22.17838,  22.85350,   0.00000,   0.00000,   0.00717,  -0.01201,  -0.00205, 507.71425, 714.28392,  10.00205, 533.63713, 519.75539,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.18366, 1231.00000,  -0.39262,   3.71603, -11.24522,  22.17839,  22.85352,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.18789, 1232.00000,  -0.39259,   3.71609, -11.24522,  22.17834,  22.85346,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.19202, 1233.00000,  -0.39262,   3.71603, -11.24527,  22.17841,  22.85354,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.19613, 1234.00000,  -0.39252,   3.71607, -11.24531,  22.17842,  22.85350,   0.00000,   0.00000,   0.00691,  -0.01245,  -0.00184, 507.72320, 714.29559,  10.00184, 533.64391, 519.76926,   0.00000,   0.00000, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.20039, 1235.00000,  -0.39247,   3.71613, -11.24537,  22.17840,  22.85346,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,  10.00000,   1.00000,   0.20449, 1236.00000,  -0.39237,   3.71609, -11.24543,  22.17848,  22.85349,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
