trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   9.00000,   1.00000,   0.01601, 3580.00000,   0.08275,   3.79485,  -9.90794,  21.49810,  21.53043,   0.00000,   0.00000,   0.00006,   0.00025,   0.00038, 494.92534, 706.97312,   9.99962, 539.77282, 522.36238,   0.00000,   0.00000, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.03257, 3587.00000,   0.08681,   3.79565,  -9.91391,  21.50070,  21.53111,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.05916, 3594.00000,   0.08759,   3.79649,  -9.91745,  21.50153,  21.53159,   0.00000,   0.00000,   0.00061,   0.00007,   0.00048, 494.90652, 706.97805,   9.99952, 539.78506, 522.36104,   0.00000,   0.00000, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.07646, 3598.00000,   0.08630,   3.79638,  -9.91748,  21.50133,  21.53201,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.07916, 3599.00000,   0.08591,   3.79640,  -9.91731,  21.50115,  21.53202,   0.00000,   0.00000,   0.00099,   0.00023,   0.00051, 494.89344, 706.97358,   9.99949, 539.78637, 522.35262,   0.00000,   0.00000, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.08328, 3600.00000,   0.08535,   3.79637,  -9.91711,  21.50096,  21.53210,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.08746, 3601.00000,   0.08499,   3.79622,  -9.91695,  21.50095,  21.53226,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.09165, 3602.00000,   0.08428,   3.79612,  -9.91672,  21.50078,  21.53242,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.09580, 3603.00000,   0.08365,   3.79606,  -9.91643,  21.50057,  21.53251,   0.00000,   0.00000,   0.00067,   0.00046,   0.00058, 494.90446, 706.96741,   9.99942, 539.77622, 522.35030,   0.00000,   0.00000, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.09999, 3604.00000,   0.08311,   3.79600,  -9.91612,  21.50037,  21.53257,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.10415, 3605.00000,   0.08237,   3.79587,  -9.91587,  21.50021,  21.53277,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.10822, 3606.00000,   0.08184,   3.79586,  -9.91560,  21.49999,  21.53279,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.11259, 3607.00000,   0.08124,   3.79579,  -9.91540,  21.49983,  21.53293,   0.00000,   0.00000,   0.00034,   0.00046,   0.00066, 494.91589, 706.96746,   9.99934, 539.77156, 522.35400,   0.00000,   0.00000, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.11661, 3608.00000,   0.08037,   3.79567,  -9.91523,  21.49966,  21.53317,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.12075, 3609.00000,   0.07979,   3.79563,  -9.91494,  21.49943,  21.53323,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.12491, 3610.00000,   0.07929,   3.79558,  -9.91464,  21.49924,  21.53327,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.12921, 3611.00000,   0.07855,   3.79556,  -9.91431,  21.49896,  21.53334,   0.00000,   0.00000,   0.00009,   0.00041,   0.00059, 494.92431, 706.96874,   9.99941, 539.76926, 522.35791,   0.00000,   0.00000, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.13323, 3612.00000,   0.07755,   3.79546,  -9.91401,  21.49869,  21.53355,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.13746, 3613.00000,   0.07688,   3.79562,  -9.91362,  21.49823,  21.53341,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.14160, 3614.00000,   0.07622,   3.79557,  -9.91333,  21.49801,  21.53350,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.14578, 3615.00000,   0.07564,   3.79570,  -9.91299,  21.49762,  21.53339,   0.00000,   0.00000,   0.00013,   0.00031,   0.00058, 494.92315, 706.97140,   9.99942, 539.77216, 522.36005,   0.00000,   0.00000, 
  1.00000,   2.00000,   9.00000,   1.00000,   0.14987, 3616.00000,   0.07519,   3.79541,  -9.91285,  21.49771,  21.53370,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
