trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   2.00000,   1.00000,   0.01629, 1124.00000,   1.27981,   3.80307, -10.35583,  22.17187,  21.67535,   0.00000,   0.00000,  -0.00218,  -0.00130,   0.00223, 500.09491, 710.01657,   9.99777, 538.33346, 518.02998,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.03287, 1132.00000,   1.28281,   3.80253, -10.35064,  22.17116,  21.67309,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.05961, 1138.00000,   1.28486,   3.80214, -10.34858,  22.17129,  21.67219,   0.00000,   0.00000,  -0.00424,  -0.00244,   0.00394, 500.16494, 710.04719,   9.99606, 538.33234, 518.08099,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.07695, 1143.00000,   1.28559,   3.80176, -10.34886,  22.17196,  21.67251,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.08082, 1144.00000,   1.28572,   3.80163, -10.34915,  22.17223,  21.67272,   0.00000,   0.00000,  -0.00632,  -0.00414,   0.00539, 500.23553, 710.09253,   9.99461, 538.34440, 518.14614,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.08509, 1145.00000,   1.28588,   3.80166, -10.34933,  22.17232,  21.67274,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.08920, 1146.00000,   1.28583,   3.80170, -10.34961,  22.17239,  21.67283,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.09328, 1147.00000,   1.28573,   3.80170, -10.34991,  22.17247,  21.67297,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.09755, 1148.00000,   1.28574,   3.80172, -10.35018,  22.17257,  21.67307,   0.00000,   0.00000,  -0.00761,  -0.00450,   0.00564, 500.27922, 710.10224,   9.99436, 538.33516, 518.16904,   0.00000,   0.00000, 
  1.00000,   1.00000,   2.00000,   1.00000,   0.10165, 1149.00000,   1.28573,   3.80170, -10.35049,  22.17271,  21.67322,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
