trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   4.00000,   1.00000,   0.01612, 1027.00000,   0.87994,   3.77626, -10.07456,  22.03045,  21.75058,   0.00000,   0.00000,   0.01253,  -0.06413,   0.01489, 498.14252, 708.70306,   9.98511, 541.26098, 524.39092,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.03282, 1034.00000,   0.87764,   3.77841, -10.07629,  22.02860,  21.74981,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.05935, 1041.00000,   0.87428,   3.77996, -10.07726,  22.02670,  21.74950,   0.00000,   0.00000,   0.01558,  -0.09417,   0.02149, 498.03772, 709.51053,   9.97851, 542.04052, 525.12227,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.07695, 1045.00000,   0.87165,   3.78083, -10.07751,  22.02531,  21.74935,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.07943, 1046.00000,   0.87125,   3.78099, -10.07751,  22.02506,  21.74929,   0.00000,   0.00000,   0.00523,  -0.11073,   0.03200, 498.39300, 709.95537,   9.96800, 542.30110, 525.65745,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.08349, 1047.00000,   0.87044,   3.78108, -10.07754,  22.02477,  21.74938,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.08787, 1048.00000,   0.87003,   3.78123, -10.07756,  22.02453,  21.74934,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.09204, 1049.00000,   0.86912,   3.78142, -10.07753,  22.02411,  21.74935,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.09609, 1050.00000,   0.86868,   3.78156, -10.07748,  22.02384,  21.74929,   0.00000,   0.00000,  -0.00742,  -0.11965,   0.04412, 498.82734, 710.19515,   9.95588, 542.34268, 526.02384,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.10046, 1051.00000,   0.86789,   3.78184, -10.07744,  22.02336,  21.74918,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.10456, 1052.00000,   0.86738,   3.78192, -10.07738,  22.02312,  21.74919,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.10851, 1053.00000,   0.86685,   3.78199, -10.07734,  22.02290,  21.74921,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.11278, 1054.00000,   0.86621,   3.78227, -10.07724,  22.02244,  21.74905,   0.00000,   0.00000,  -0.01681,  -0.12537,   0.05397, 499.14954, 710.34882,   9.94603, 542.35171, 526.27285,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.11690, 1055.00000,   0.86552,   3.78245, -10.07714,  22.02205,  21.74899,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.12100, 1056.00000,   0.86502,   3.78255, -10.07713,  22.02182,  21.74900,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.12530, 1057.00000,   0.86453,   3.78283, -10.07706,  22.02141,  21.74882,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.12942, 1058.00000,   0.86390,   3.78292, -10.07711,  22.02118,  21.74889,   0.00000,   0.00000,  -0.02711,  -0.12750,   0.06321, 499.50338, 710.40623,   9.93679, 542.26017, 526.44104,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.13347, 1059.00000,   0.86359,   3.78303, -10.07712,  22.02100,  21.74885,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.13774, 1060.00000,   0.86294,   3.78330, -10.07713,  22.02059,  21.74875,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.14189, 1061.00000,   0.86250,   3.78353, -10.07719,  22.02029,  21.74866,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.14598, 1062.00000,   0.86205,   3.78366, -10.07732,  22.02011,  21.74868,   0.00000,   0.00000,  -0.03404,  -0.13572,   0.07044, 499.74123, 710.62686,   9.92956, 542.36511, 526.72652,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.15022, 1063.00000,   0.86142,   3.78369, -10.07750,  22.01997,  21.74885,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.15441, 1064.00000,   0.86115,   3.78394, -10.07755,  22.01971,  21.74871,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.15854, 1065.00000,   0.86078,   3.78394, -10.07770,  22.01966,  21.74885,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.16283, 1066.00000,   0.86055,   3.78411, -10.07776,  22.01947,  21.74876,   0.00000,   0.00000,  -0.03616,  -0.15599,   0.07661, 499.81401, 711.17171,   9.92339, 542.83352, 527.26577,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.16688, 1067.00000,   0.86005,   3.78408, -10.07784,  22.01939,  21.74892,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.17097, 1068.00000,   0.85989,   3.78436, -10.07783,  22.01910,  21.74870,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.17525, 1069.00000,   0.85965,   3.78442, -10.07788,  22.01900,  21.74872,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.17941, 1070.00000,   0.85934,   3.78455, -10.07789,  22.01880,  21.74867,   0.00000,   0.00000,  -0.03501,  -0.18672,   0.08367, 499.77453, 711.99747,   9.91633, 543.60440, 528.03491,   0.00000,   0.00000, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.18355, 1071.00000,   0.85929,   3.78475, -10.07783,  22.01859,  21.74847,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.18773, 1072.00000,   0.85898,   3.78489, -10.07788,  22.01841,  21.74843,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   4.00000,   1.00000,   0.19190, 1073.00000,   0.85903,   3.78504, -10.07782,  22.01826,  21.74826,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
