trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   3.00000,   1.00000,   0.01623, 1144.00000,  -0.13761,   3.56138, -11.00762,  22.87679,  22.88834,   0.00000,   0.00000,   0.00113,  -0.00004,   0.00085, 508.50281, 722.97693,   9.99915, 534.47024, 521.91316,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.03304, 1151.00000,  -0.13715,   3.56124, -11.00710,  22.87680,  22.88813,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.05955, 1158.00000,  -0.13667,   3.56087, -11.00653,  22.87700,  22.88811,   0.00000,   0.00000,   0.00382,  -0.00042,   0.00044, 508.41331, 722.98724,   9.99956, 534.51545, 521.89456,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.07730, 1162.00000,  -0.13661,   3.56056, -11.00604,  22.87708,  22.88815,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.08025, 1163.00000,  -0.13665,   3.56041, -11.00600,  22.87719,  22.88828,   0.00000,   0.00000,   0.00604,  -0.00107,   0.00014, 508.33929, 723.00467,   9.99986, 534.56101, 521.88764,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.08429, 1164.00000,  -0.13668,   3.56030, -11.00591,  22.87724,  22.88835,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.08866, 1165.00000,  -0.13671,   3.56030, -11.00580,  22.87719,  22.88831,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.09266, 1166.00000,  -0.13664,   3.56035, -11.00568,  22.87711,  22.88820,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.09685, 1167.00000,  -0.13661,   3.56031, -11.00560,  22.87711,  22.88819,   0.00000,   0.00000,   0.00710,  -0.00183,   0.00022, 508.30392, 723.02502,   9.99978, 534.59381, 521.89573,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.10106, 1168.00000,  -0.13644,   3.56028, -11.00545,  22.87712,  22.88811,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.10522, 1169.00000,  -0.13627,   3.56011, -11.00531,  22.87725,  22.88816,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.10930, 1170.00000,  -0.13610,   3.56023, -11.00505,  22.87707,  22.88791,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.11357, 1171.00000,  -0.13601,   3.56018, -11.00486,  22.87705,  22.88785,   0.00000,   0.00000,   0.00645,  -0.00260,   0.00063, 508.32560, 723.04569,   9.99937, 534.60408, 521.92220,   0.00000,   0.00000, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.11769, 1172.00000,  -0.13568,   3.56019, -11.00458,  22.87700,  22.88765,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.12177, 1173.00000,  -0.13557,   3.56009, -11.00436,  22.87703,  22.88762,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.12604, 1174.00000,  -0.13548,   3.56012, -11.00417,  22.87694,  22.88749,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   3.00000,   1.00000,   0.13019, 1175.00000,  -0.13517,   3.56007, -11.00401,  22.87699,  22.88739,   0.00000,   0.00000,   0.00652,  -0.00367,   0.00149, 508.32315, 723.07450,   9.99851, 534.63147, 521.94876,   0.00000,   0.00000, 
