trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   4.00000,   1.00000,   0.01611, 1159.00000,  -0.10331,   3.57451, -10.93526,  22.76450,  22.88234,   0.00000,   0.00000,  -0.00023,  -0.00128,  -0.01729, 505.26547, 703.00598,  10.01729, 528.40472, 512.72046,   0.00000,   0.00000, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.03284, 1166.00000,  -0.11051,   3.57562, -10.92818,  22.75900,  22.88013,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.05930, 1173.00000,  -0.11566,   3.57619, -10.92192,  22.75477,  22.87826,   0.00000,   0.00000,  -0.00123,  -0.00170,  -0.02594, 505.29860, 703.01725,  10.02594, 528.40126, 512.74134,   0.00000,   0.00000, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.07683, 1177.00000,  -0.11657,   3.57605, -10.91963,  22.75374,  22.87763,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.07965, 1178.00000,  -0.11654,   3.57614, -10.91929,  22.75352,  22.87740,   0.00000,   0.00000,  -0.00286,  -0.00262,  -0.03459, 505.35273, 703.04138,  10.03459, 528.40083, 512.78092,   0.00000,   0.00000, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.08380, 1179.00000,  -0.11600,   3.57630, -10.91904,  22.75339,  22.87702,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.08806, 1180.00000,  -0.11578,   3.57646, -10.91889,  22.75324,  22.87677,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.09211, 1181.00000,  -0.11522,   3.57639, -10.91892,  22.75344,  22.87671,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.09631, 1182.00000,  -0.11450,   3.57633, -10.91910,  22.75371,  22.87666,   0.00000,   0.00000,  -0.00426,  -0.00345,  -0.04298, 505.39920, 703.06323,  10.04298, 528.40150, 512.81597,   0.00000,   0.00000, 
  1.00000,   2.00000,   4.00000,   1.00000,   0.10045, 1183.00000,  -0.11375,   3.57622, -10.91938,  22.75410,  22.87670,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
