trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   5.00000,   1.00000,   0.01613, 1268.00000,  -0.30075,   3.56002, -10.93880,  22.81252,  22.89912,   0.00000,   0.00000,   0.00577,   0.00017,   0.00180, 508.34837, 722.97142,   9.99820, 534.52690, 521.85897,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.03289, 1276.00000,  -0.30609,   3.56107, -10.94407,  22.81261,  22.90170,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.05945, 1282.00000,  -0.30889,   3.56204, -10.94987,  22.81356,  22.90397,   0.00000,   0.00000,   0.00930,   0.00019,   0.00280, 508.23066, 722.97086,   9.99720, 534.57345, 521.82116,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.07705, 1286.00000,  -0.31009,   3.56245, -10.95312,  22.81429,  22.90527,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.07863, 1287.00000,  -0.31040,   3.56280, -10.95360,  22.81412,  22.90523,   0.00000,   0.00000,   0.01330,   0.00035,   0.00317, 508.09710, 722.96653,   9.99683, 534.62291, 521.77478,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.08247, 1288.00000,  -0.31072,   3.56275, -10.95406,  22.81428,  22.90555,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.08659, 1289.00000,  -0.31130,   3.56253, -10.95454,  22.81455,  22.90609,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.09074, 1290.00000,  -0.31189,   3.56248, -10.95482,  22.81458,  22.90639,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.09509, 1291.00000,  -0.31237,   3.56248, -10.95493,  22.81452,  22.90655,   0.00000,   0.00000,   0.01551,   0.00053,   0.00437, 508.02336, 722.96164,   9.99563, 534.64794, 521.74681,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.09913, 1292.00000,  -0.31302,   3.56261, -10.95494,  22.81426,  22.90659,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.10328, 1293.00000,  -0.31331,   3.56249, -10.95500,  22.81433,  22.90680,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.10748, 1294.00000,  -0.31398,   3.56241, -10.95488,  22.81420,  22.90697,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.11163, 1295.00000,  -0.31457,   3.56227, -10.95474,  22.81414,  22.90718,   0.00000,   0.00000,   0.01659,   0.00098,   0.00550, 507.98743, 722.94982,   9.99450, 534.65148, 521.72423,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.11575, 1296.00000,  -0.31474,   3.56206, -10.95463,  22.81424,  22.90736,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.11999, 1297.00000,  -0.31524,   3.56201, -10.95440,  22.81408,  22.90743,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.12421, 1298.00000,  -0.31586,   3.56216, -10.95405,  22.81367,  22.90730,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.12832, 1299.00000,  -0.31646,   3.56189, -10.95378,  22.81365,  22.90756,   0.00000,   0.00000,   0.01702,   0.00105,   0.00645, 507.97303, 722.94777,   9.99355, 534.65537, 521.71774,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.13252, 1300.00000,  -0.31719,   3.56214, -10.95343,  22.81312,  22.90737,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.13667, 1301.00000,  -0.31782,   3.56216, -10.95305,  22.81280,  22.90734,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.14073, 1302.00000,  -0.31868,   3.56222, -10.95265,  22.81239,  22.90733,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.14526, 1303.00000,  -0.31940,   3.56190, -10.95238,  22.81241,  22.90768,   0.00000,   0.00000,   0.01846,   0.00129,   0.00677, 507.92508, 722.94146,   9.99323, 534.66878, 521.69659,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.14909, 1304.00000,  -0.32016,   3.56200, -10.95207,  22.81203,  22.90764,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.15324, 1305.00000,  -0.32073,   3.56189, -10.95175,  22.81186,  22.90774,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.15748, 1306.00000,  -0.32149,   3.56189, -10.95158,  22.81162,  22.90785,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.16161, 1307.00000,  -0.32189,   3.56197, -10.95141,  22.81139,  22.90781,   0.00000,   0.00000,   0.01968,   0.00096,   0.00680, 507.88463, 722.95034,   9.99320, 534.69311, 521.69222,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.16573, 1308.00000,  -0.32252,   3.56194, -10.95119,  22.81119,  22.90789,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.16996, 1309.00000,  -0.32298,   3.56205, -10.95086,  22.81085,  22.90776,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.17413, 1310.00000,  -0.32351,   3.56213, -10.95057,  22.81054,  22.90770,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.17825, 1311.00000,  -0.32405,   3.56215, -10.95019,  22.81024,  22.90766,   0.00000,   0.00000,   0.02108,   0.00098,   0.00650, 507.83789, 722.94966,   9.99350, 534.71121, 521.67681,   0.00000,   0.00000, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.18253, 1312.00000,  -0.32449,   3.56219, -10.94980,  22.80995,  22.90756,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.18669, 1313.00000,  -0.32483,   3.56226, -10.94936,  22.80963,  22.90740,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   5.00000,   1.00000,   0.19076, 1314.00000,  -0.32502,   3.56238, -10.94880,  22.80926,  22.90711,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
