trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   1.00000,   0.01636, 1028.00000,   0.73021,   3.76822, -10.50176,  22.09979,  21.87768,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 499.82461, 709.98646,  10.02182, 538.41804, 517.91687,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.03341, 1035.00000,   0.72955,   3.76848, -10.50358,  22.10013,  21.87835,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.06056, 1042.00000,   0.72761,   3.76846, -10.50416,  22.09984,  21.87903,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 499.72721, 709.99318,  10.03490, 538.46453, 517.89282,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.07848, 1046.00000,   0.72777,   3.76870, -10.50344,  22.09938,  21.87848,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.08030, 1047.00000,   0.72778,   3.76878, -10.50315,  22.09919,  21.87829,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 499.70386, 710.00461,  10.04655, 538.48462, 517.89640,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.08441, 1048.00000,   0.72783,   3.76871, -10.50285,  22.09914,  21.87821,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.08869, 1049.00000,   0.72777,   3.76859, -10.50254,  22.09911,  21.87820,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.09281, 1050.00000,   0.72775,   3.76858, -10.50204,  22.09890,  21.87801,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.09691, 1051.00000,   0.72778,   3.76847, -10.50150,  22.09878,  21.87787,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 499.72773, 710.01858,  10.05616, 538.48744, 517.91712,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.10115, 1052.00000,   0.72758,   3.76834, -10.50088,  22.09859,  21.87776,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.10521, 1053.00000,   0.72755,   3.76822, -10.50011,  22.09836,  21.87755,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   1.00000,   0.10937, 1054.00000,   0.72739,   3.76822, -10.49938,  22.09801,  21.87728,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
